,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
2873,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1245,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7963,0,0,0,0,8,4,5,0,0,0,0,0,0,0,0,31,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9253,0,0,0,40,0,0,0,10,0,0,16,0,147,0,244,0,0,0,24,0,200,0,0,4,0,0,0,0,0,6,2,0,0,15,0,24,24,1,91,0,0,0,0
6238,3,0,0,40,0,20,2,0,0,2,0,22,147,13,0,7,0,0,0,2,0,0,2,0,1,0,1,0,13,0,2,0,2,0,0,0,0,0,91,13,0,0,0
6213,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,121,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6666,0,0,0,0,0,20,75,0,0,0,0,14,0,0,0,262,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1539,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0
6166,4,0,11,15,0,0,0,5,0,32,6,0,71,8,0,0,0,0,0,1,0,0,3,0,2,0,0,0,3,0,0,0,0,0,0,5,0,0,15,6,0,0,75
8818,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0,132
1050,0,39,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,290,24,0,0,0,0,4,0,0,0,2,0,6,0,0,0,15,1,0,24,1,0,0,2,0,0
7121,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
6116,0,5,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,55,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,24,0,0,0,0,0,0
1542,0,0,0,0,88,20,75,0,0,0,0,14,0,0,0,262,2,0,0,0,200,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
12507,0,0,16,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,113
6300,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
